id,name,path
"3734780_7455738","Food & Grocery","Shop by Brand/Food & Grocery"
"3734780_7455738_4395713","Augason Farms","Shop by Brand/Food & Grocery/Augason Farms"
"3734780_7455738_7679722","Bai","Shop by Brand/Food & Grocery/Bai"
"3734780_7455738_7092438","Bob's Red Mill","Shop by Brand/Food & Grocery/Bob's Red Mill"
"3734780_7455738_6336012","Butterball","Shop by Brand/Food & Grocery/Butterball"
"3734780_7455738_1413005","Campbell's","Shop by Brand/Food & Grocery/Campbell's"
"3734780_7455738_6065794","Essentia","Shop by Brand/Food & Grocery/Essentia"
"3734780_7455738_7166534","Frito-Lay","Shop by Brand/Food & Grocery/Frito-Lay"
"3734780_7455738_5413535","Great Value","Shop by Brand/Food & Grocery/Great Value"
"3734780_7455738_2948423","Knorr","Shop by Brand/Food & Grocery/Knorr"
"3734780_7455738_1397051","Kraft Dinners","Shop by Brand/Food & Grocery/Kraft Dinners"
"3734780_7455738_3611340","Lipton","Shop by Brand/Food & Grocery/Lipton"
"3734780_7455738_2728198","Marketside","Shop by Brand/Food & Grocery/Marketside"
"3734780_7455738_9309662","McCormick","Shop by Brand/Food & Grocery/McCormick"
"3734780_7455738_5050871","Nature's Path","Shop by Brand/Food & Grocery/Nature's Path"
"3734780_7455738_3862805","Nestle","Shop by Brand/Food & Grocery/Nestle"
"3734780_7455738_3783723","Oreo","Shop by Brand/Food & Grocery/Oreo"
"3734780_7455738_5312905","Pepperidge Farm","Shop by Brand/Food & Grocery/Pepperidge Farm"
"3734780_7455738_9166487","Planters","Shop by Brand/Food & Grocery/Planters"
"3734780_7455738_2512582","Starbucks","Shop by Brand/Food & Grocery/Starbucks"
"3734780_7455738_9030640","Thai Kitchen","Shop by Brand/Food & Grocery/Thai Kitchen"
